"id,""matchDate"",""Country"",""League"",""Season"",""homeTeam"",""awayTeam"",""FTHG"",""FTAG"",""FTR"",""1HHG"",""1HAG"",""1HR"",""2HHG"",""2HAG"",""2HR"""
"1490,""02-01-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Betis"",""Sevilla"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
"1489,""02-01-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Valladolid"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1486,""03-01-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Atl. Madrid"",""1"",""2"",""A"",""0"",""1"",""A"",""1"",""1"",""D"""
"1484,""03-01-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Granada CF"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
"1485,""03-01-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Real Sociedad"",""Osasuna"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1483,""03-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Barcelona"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1482,""04-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Valencia"",""Cadiz CF"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
"1480,""08-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Celta Vigo"",""Villarreal"",""0"",""4"",""A"",""0"",""4"",""A"",""0"",""0"",""D"""
"1478,""09-01-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Granada CF"",""Barcelona"",""0"",""4"",""A"",""0"",""3"",""A"",""0"",""1"",""A"""
"1477,""09-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Real Madrid"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1476,""10-01-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Levante"",""Eibar"",""2"",""1"",""H"",""0"",""0"",""D"",""2"",""1"",""H"""
"1474,""10-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Valladolid"",""Valencia"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1472,""11-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Betis"",""0"",""2"",""A"",""0"",""0"",""D"",""0"",""2"",""A"""
"1469,""19-01-21 19:00"",""Spain"",""LaLiga"",""2020/2021"",""Valladolid"",""Elche"",""2"",""2"",""D"",""0"",""2"",""A"",""2"",""0"",""H"""
"1466,""20-01-21 19:00"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Huesca"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1463,""21-01-21 19:00"",""Spain"",""LaLiga"",""2020/2021"",""Valencia"",""Osasuna"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1461,""22-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Levante"",""Valladolid"",""2"",""2"",""D"",""0"",""0"",""D"",""2"",""2"",""D"""
"1460,""23-01-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Villarreal"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1458,""23-01-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Real Sociedad"",""Betis"",""2"",""2"",""D"",""0"",""0"",""D"",""2"",""2"",""D"""
"1457,""23-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Real Madrid"",""1"",""4"",""A"",""0"",""3"",""A"",""1"",""1"",""D"""
"1455,""24-01-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Elche"",""Barcelona"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1451,""29-01-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Valladolid"",""Huesca"",""1"",""3"",""A"",""0"",""1"",""A"",""1"",""2"",""A"""
"1450,""30-01-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Sevilla"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
